Unnamed: 0,slide,dataset,uid,final_label,dataset_uid,x,y,expert1_label,expert2_label,expert1_atypical,expert2_atypical,expert3_atypical,majority_atypical
27,006.tiff,MIDOG21,84,Atypical,MIDOG21_84.png,745,1685,AMF other,AMF other,True,True,True,True
28,006.tiff,MIDOG21,90,Atypical,MIDOG21_90.png,3198,3762,NMF anaphase-telophase,AMF bipolar assymetric,False,True,True,True
29,006.tiff,MIDOG21,91,Normal,MIDOG21_91.png,4318,3192,NMF prometaphase,NMF prometaphase,False,False,False,False
30,006.tiff,MIDOG21,92,Normal,MIDOG21_92.png,4439,3271,NMF prometaphase,NMF prometaphase,False,False,False,False
31,006.tiff,MIDOG21,94,Normal,MIDOG21_94.png,3948,4629,NMF metaphase,NMF metaphase,False,False,False,False
54,008.tiff,MIDOG21,147,Normal,MIDOG21_147.png,3939,1214,NMF metaphase,NMF metaphase,False,False,False,False
55,008.tiff,MIDOG21,154,Atypical,MIDOG21_154.png,4680,4271,AMF multipolar,AMF multipolar,True,True,True,True
56,008.tiff,MIDOG21,155,Normal,MIDOG21_155.png,405,5104,NMF metaphase,AMF segregation,False,True,False,False
57,008.tiff,MIDOG21,156,Normal,MIDOG21_156.png,6291,5365,NMF anaphase-telophase,NMF metaphase,False,False,True,False
58,008.tiff,MIDOG21,162,Normal,MIDOG21_162.png,887,1529,NMF metaphase,NMF metaphase,False,False,False,False
59,008.tiff,MIDOG21,165,Normal,MIDOG21_165.png,6420,4532,NMF prometaphase,NMF prometaphase,False,False,False,False
60,009.tiff,MIDOG21,168,Normal,MIDOG21_168.png,2391,1964,NMF metaphase,NMF metaphase,False,False,False,False
61,009.tiff,MIDOG21,169,Normal,MIDOG21_169.png,2300,1597,NMF metaphase,NMF metaphase,False,False,False,False
62,009.tiff,MIDOG21,171,Normal,MIDOG21_171.png,4278,3203,NMF metaphase,NMF metaphase,False,False,False,False
63,009.tiff,MIDOG21,172,Normal,MIDOG21_172.png,5294,3297,NMF metaphase,NMF metaphase,False,False,False,False
64,010.tiff,MIDOG21,193,Normal,MIDOG21_193.png,746,172,NMF metaphase,NMF metaphase,False,False,False,False
65,010.tiff,MIDOG21,194,Normal,MIDOG21_194.png,247,466,NMF metaphase,NMF metaphase,False,False,False,False
66,010.tiff,MIDOG21,196,Atypical,MIDOG21_196.png,5433,1263,AMF other,AMF bipolar assymetric,True,True,True,True
67,010.tiff,MIDOG21,200,Normal,MIDOG21_200.png,1435,2252,NMF metaphase,NMF metaphase,False,False,False,False
68,010.tiff,MIDOG21,201,Normal,MIDOG21_201.png,3204,1896,NMF metaphase,NMF metaphase,False,False,False,False
69,010.tiff,MIDOG21,202,Normal,MIDOG21_202.png,3764,1780,NMF metaphase,NMF metaphase,False,False,False,False
70,010.tiff,MIDOG21,204,Normal,MIDOG21_204.png,2250,3069,NMF metaphase,NMF metaphase,False,False,False,False
71,010.tiff,MIDOG21,206,Normal,MIDOG21_206.png,4442,3502,NMF metaphase,NMF metaphase,False,False,False,False
72,010.tiff,MIDOG21,211,Normal,MIDOG21_211.png,2575,4451,NMF metaphase,NMF metaphase,False,False,False,False
73,010.tiff,MIDOG21,212,Normal,MIDOG21_212.png,3273,4452,NMF metaphase,NMF metaphase,False,False,False,False
74,010.tiff,MIDOG21,213,Normal,MIDOG21_213.png,2227,5376,NMF metaphase,NMF metaphase,False,False,False,False
75,010.tiff,MIDOG21,215,Atypical,MIDOG21_215.png,2953,5014,AMF segregation,AMF segregation,True,True,True,True
76,010.tiff,MIDOG21,216,Normal,MIDOG21_216.png,3863,4728,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
77,010.tiff,MIDOG21,218,Normal,MIDOG21_218.png,4943,3346,NMF prometaphase,NMF prometaphase,False,False,False,False
81,012.tiff,MIDOG21,232,Normal,MIDOG21_232.png,3756,4053,NMF prometaphase,NMF prometaphase,False,False,False,False
82,012.tiff,MIDOG21,238,Normal,MIDOG21_238.png,6750,1227,NMF metaphase,NMF prometaphase,False,False,False,False
83,013.tiff,MIDOG21,240,Normal,MIDOG21_240.png,2537,154,NMF metaphase,NMF metaphase,False,False,False,False
84,013.tiff,MIDOG21,241,Normal,MIDOG21_241.png,6033,722,NMF metaphase,NMF metaphase,False,False,False,False
85,013.tiff,MIDOG21,242,Normal,MIDOG21_242.png,2123,1570,NMF metaphase,NMF metaphase,False,False,False,False
86,013.tiff,MIDOG21,243,Atypical,MIDOG21_243.png,1848,1605,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
87,013.tiff,MIDOG21,245,Atypical,MIDOG21_245.png,199,2148,AMF other,AMF other,True,True,True,True
88,013.tiff,MIDOG21,246,Normal,MIDOG21_246.png,5243,1969,NMF prometaphase,NMF metaphase,False,False,True,False
89,013.tiff,MIDOG21,247,Normal,MIDOG21_247.png,5324,2234,NMF prometaphase,NMF metaphase,False,False,False,False
90,013.tiff,MIDOG21,248,Normal,MIDOG21_248.png,1295,2959,NMF metaphase,NMF metaphase,False,False,False,False
91,013.tiff,MIDOG21,249,Normal,MIDOG21_249.png,1710,2861,NMF prometaphase,NMF prometaphase,False,False,False,False
92,013.tiff,MIDOG21,250,Normal,MIDOG21_250.png,4626,2659,NMF prometaphase,NMF prometaphase,False,False,False,False
93,013.tiff,MIDOG21,253,Normal,MIDOG21_253.png,4928,3395,NMF prometaphase,NMF prometaphase,False,False,False,False
94,013.tiff,MIDOG21,254,Atypical,MIDOG21_254.png,6821,3779,NMF metaphase,AMF segregation,False,True,True,True
95,013.tiff,MIDOG21,258,Normal,MIDOG21_258.png,3064,3994,NMF metaphase,NMF metaphase,False,False,False,False
96,013.tiff,MIDOG21,259,Normal,MIDOG21_259.png,5011,4565,NMF prometaphase,NMF prometaphase,False,False,False,False
97,013.tiff,MIDOG21,260,Atypical,MIDOG21_260.png,5267,3963,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
98,013.tiff,MIDOG21,262,Normal,MIDOG21_262.png,3656,5377,NMF metaphase,NMF metaphase,False,False,False,False
99,013.tiff,MIDOG21,263,Normal,MIDOG21_263.png,3727,5362,NMF prometaphase,NMF prometaphase,False,False,False,False
100,013.tiff,MIDOG21,268,Normal,MIDOG21_268.png,3118,1384,NMF prometaphase,NMF prometaphase,False,False,True,False
101,014.tiff,MIDOG21,276,Normal,MIDOG21_276.png,3450,372,NMF prometaphase,NMF prometaphase,False,False,False,False
102,014.tiff,MIDOG21,278,Atypical,MIDOG21_278.png,1839,1366,NMF prometaphase,AMF other,False,True,True,True
103,014.tiff,MIDOG21,279,Normal,MIDOG21_279.png,3732,1355,NMF prometaphase,NMF prometaphase,False,False,False,False
104,014.tiff,MIDOG21,281,Normal,MIDOG21_281.png,5064,3264,NMF prometaphase,NMF prometaphase,False,False,False,False
105,014.tiff,MIDOG21,282,Normal,MIDOG21_282.png,6764,3655,NMF prometaphase,NMF prometaphase,False,False,False,False
106,014.tiff,MIDOG21,285,Normal,MIDOG21_285.png,1681,1763,NMF prometaphase,NMF prometaphase,False,False,False,False
107,014.tiff,MIDOG21,288,Normal,MIDOG21_288.png,404,682,NMF prometaphase,NMF prometaphase,False,False,False,False
108,014.tiff,MIDOG21,294,Normal,MIDOG21_294.png,1259,1166,NMF metaphase,NMF prometaphase,False,False,False,False
109,015.tiff,MIDOG21,301,Normal,MIDOG21_301.png,4093,2267,NMF metaphase,NMF metaphase,False,False,False,False
110,015.tiff,MIDOG21,303,Normal,MIDOG21_303.png,4974,3061,NMF metaphase,NMF metaphase,False,False,True,False
111,015.tiff,MIDOG21,305,Normal,MIDOG21_305.png,3114,4502,NMF metaphase,NMF metaphase,False,False,False,False
112,016.tiff,MIDOG21,310,Atypical,MIDOG21_310.png,1052,482,AMF segregation,AMF segregation,True,True,True,True
113,016.tiff,MIDOG21,316,Normal,MIDOG21_316.png,3941,2046,NMF prometaphase,NMF prometaphase,False,False,False,False
114,016.tiff,MIDOG21,319,Normal,MIDOG21_319.png,639,2711,NMF metaphase,NMF metaphase,False,False,False,False
115,016.tiff,MIDOG21,321,Normal,MIDOG21_321.png,7157,2840,NMF metaphase,NMF metaphase,False,False,False,False
116,016.tiff,MIDOG21,327,Normal,MIDOG21_327.png,6280,1748,NMF metaphase,NMF metaphase,False,False,False,False
117,016.tiff,MIDOG21,334,Normal,MIDOG21_334.png,509,4891,NMF prometaphase,AMF other,False,True,False,False
145,022.tiff,MIDOG21,403,Normal,MIDOG21_403.png,7068,1202,NMF metaphase,NMF metaphase,False,False,False,False
146,022.tiff,MIDOG21,404,Normal,MIDOG21_404.png,908,1931,NMF metaphase,NMF metaphase,False,False,False,False
147,022.tiff,MIDOG21,406,Normal,MIDOG21_406.png,2310,2479,NMF prometaphase,NMF prometaphase,False,False,False,False
148,023.tiff,MIDOG21,411,Atypical,MIDOG21_411.png,1359,694,AMF segregation,AMF segregation,True,True,True,True
149,023.tiff,MIDOG21,412,Atypical,MIDOG21_412.png,1014,111,AMF segregation,AMF segregation,True,True,True,True
150,023.tiff,MIDOG21,413,Normal,MIDOG21_413.png,3801,559,NMF metaphase,NMF metaphase,False,False,False,False
151,023.tiff,MIDOG21,416,Atypical,MIDOG21_416.png,1977,2751,AMF multipolar,AMF multipolar,True,True,True,True
152,023.tiff,MIDOG21,417,Atypical,MIDOG21_417.png,6197,2522,AMF segregation,AMF segregation,True,True,True,True
153,023.tiff,MIDOG21,418,Atypical,MIDOG21_418.png,1028,3705,NMF anaphase-telophase,AMF segregation,False,True,True,True
154,023.tiff,MIDOG21,419,Normal,MIDOG21_419.png,1072,3740,NMF anaphase-telophase,NMF prometaphase,False,False,False,False
155,023.tiff,MIDOG21,420,Normal,MIDOG21_420.png,1500,3602,NMF prometaphase,NMF prometaphase,False,False,False,False
156,023.tiff,MIDOG21,425,Atypical,MIDOG21_425.png,300,5048,AMF segregation,AMF segregation,True,True,True,True
157,023.tiff,MIDOG21,426,Atypical,MIDOG21_426.png,1224,5093,AMF other,AMF other,True,True,True,True
158,023.tiff,MIDOG21,427,Atypical,MIDOG21_427.png,881,5276,AMF other,AMF other,True,True,True,True
159,023.tiff,MIDOG21,428,Atypical,MIDOG21_428.png,1515,5286,AMF other,AMF other,True,True,True,True
160,024.tiff,MIDOG21,433,Normal,MIDOG21_433.png,2510,16,NMF prometaphase,NMF prometaphase,False,False,False,False
161,024.tiff,MIDOG21,436,Normal,MIDOG21_436.png,1110,765,NMF metaphase,NMF metaphase,False,False,False,False
162,024.tiff,MIDOG21,438,Normal,MIDOG21_438.png,550,47,NMF prometaphase,NMF metaphase,False,False,False,False
163,024.tiff,MIDOG21,440,Atypical,MIDOG21_440.png,3692,507,AMF other,AMF other,True,True,True,True
164,024.tiff,MIDOG21,441,Normal,MIDOG21_441.png,4731,675,NMF metaphase,NMF metaphase,False,False,False,False
165,024.tiff,MIDOG21,442,Atypical,MIDOG21_442.png,5723,790,AMF other,NMF metaphase,True,False,True,True
166,024.tiff,MIDOG21,443,Atypical,MIDOG21_443.png,6670,812,AMF other,AMF other,True,True,True,True
167,024.tiff,MIDOG21,444,Normal,MIDOG21_444.png,6826,289,NMF prometaphase,NMF prometaphase,False,False,False,False
168,024.tiff,MIDOG21,445,Atypical,MIDOG21_445.png,6739,38,AMF other,AMF segregation,True,True,True,True
169,024.tiff,MIDOG21,447,Normal,MIDOG21_447.png,1370,1439,NMF metaphase,NMF metaphase,False,False,False,False
170,024.tiff,MIDOG21,448,Normal,MIDOG21_448.png,529,885,NMF prometaphase,NMF prometaphase,False,False,False,False
171,024.tiff,MIDOG21,449,Normal,MIDOG21_449.png,2697,1167,NMF prometaphase,NMF metaphase,False,False,False,False
172,024.tiff,MIDOG21,450,Normal,MIDOG21_450.png,2899,1239,NMF metaphase,NMF metaphase,False,False,False,False
173,024.tiff,MIDOG21,453,Atypical,MIDOG21_453.png,5430,1300,NMF prometaphase,AMF other,False,True,True,True
174,024.tiff,MIDOG21,454,Normal,MIDOG21_454.png,5879,980,NMF metaphase,NMF metaphase,False,False,False,False
175,024.tiff,MIDOG21,455,Normal,MIDOG21_455.png,6190,1249,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
176,024.tiff,MIDOG21,456,Normal,MIDOG21_456.png,6234,1529,NMF prometaphase,NMF prometaphase,False,False,False,False
177,024.tiff,MIDOG21,458,Normal,MIDOG21_458.png,446,2338,NMF prometaphase,NMF prometaphase,False,False,False,False
178,024.tiff,MIDOG21,461,Normal,MIDOG21_461.png,2220,2005,NMF prometaphase,NMF metaphase,False,False,False,False
179,024.tiff,MIDOG21,464,Normal,MIDOG21_464.png,3799,2170,NMF prometaphase,NMF prometaphase,False,False,False,False
180,024.tiff,MIDOG21,465,Normal,MIDOG21_465.png,3760,1839,NMF prometaphase,NMF prometaphase,False,False,False,False
181,024.tiff,MIDOG21,466,Atypical,MIDOG21_466.png,5329,1797,NMF metaphase,AMF segregation,False,True,True,True
182,024.tiff,MIDOG21,467,Normal,MIDOG21_467.png,5433,2051,NMF metaphase,NMF metaphase,False,False,False,False
183,024.tiff,MIDOG21,469,Normal,MIDOG21_469.png,5919,1833,NMF prometaphase,NMF prometaphase,False,False,False,False
184,024.tiff,MIDOG21,471,Normal,MIDOG21_471.png,342,2678,NMF prometaphase,NMF metaphase,False,False,False,False
185,024.tiff,MIDOG21,474,Normal,MIDOG21_474.png,4880,2580,NMF prometaphase,NMF prometaphase,False,False,False,False
186,024.tiff,MIDOG21,475,Normal,MIDOG21_475.png,5161,2588,NMF prometaphase,NMF prometaphase,False,False,False,False
187,024.tiff,MIDOG21,477,Normal,MIDOG21_477.png,4375,2432,NMF metaphase,NMF metaphase,False,False,False,False
188,024.tiff,MIDOG21,478,Normal,MIDOG21_478.png,1727,3408,NMF metaphase,NMF metaphase,False,False,False,False
189,024.tiff,MIDOG21,482,Normal,MIDOG21_482.png,4617,3540,NMF prometaphase,NMF prometaphase,False,False,False,False
190,024.tiff,MIDOG21,483,Normal,MIDOG21_483.png,6229,3679,NMF metaphase,NMF metaphase,False,False,False,False
191,024.tiff,MIDOG21,484,Normal,MIDOG21_484.png,6026,3842,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
192,024.tiff,MIDOG21,486,Normal,MIDOG21_486.png,6626,3251,NMF prometaphase,NMF prometaphase,False,False,False,False
193,024.tiff,MIDOG21,489,Normal,MIDOG21_489.png,1000,4322,NMF prometaphase,NMF prometaphase,False,False,False,False
194,024.tiff,MIDOG21,490,Normal,MIDOG21_490.png,7197,4231,NMF prometaphase,NMF metaphase,False,False,False,False
195,024.tiff,MIDOG21,493,Normal,MIDOG21_493.png,2295,5235,NMF metaphase,NMF metaphase,False,False,False,False
196,024.tiff,MIDOG21,495,Normal,MIDOG21_495.png,5337,4866,NMF prometaphase,NMF prometaphase,False,False,False,False
197,024.tiff,MIDOG21,496,Normal,MIDOG21_496.png,5768,5308,NMF metaphase,NMF metaphase,False,False,False,False
198,024.tiff,MIDOG21,499,Normal,MIDOG21_499.png,3451,710,NMF prometaphase,NMF prometaphase,False,False,False,False
199,024.tiff,MIDOG21,500,Atypical,MIDOG21_500.png,3164,693,NMF anaphase-telophase,AMF segregation,False,True,True,True
200,024.tiff,MIDOG21,508,Atypical,MIDOG21_508.png,455,2411,AMF segregation,AMF segregation,True,True,True,True
201,024.tiff,MIDOG21,518,Atypical,MIDOG21_518.png,6350,2235,AMF other,AMF other,True,True,True,True
202,024.tiff,MIDOG21,528,Atypical,MIDOG21_528.png,5324,904,AMF other,AMF other,True,True,True,True
203,025.tiff,MIDOG21,532,Atypical,MIDOG21_532.png,5912,1523,AMF segregation,AMF segregation,True,True,True,True
204,025.tiff,MIDOG21,533,Normal,MIDOG21_533.png,6006,1417,AMF bipolar assymetric,NMF metaphase,True,False,False,False
205,025.tiff,MIDOG21,536,Normal,MIDOG21_536.png,3845,3715,NMF ring shape,NMF ring shape,False,False,False,False
206,025.tiff,MIDOG21,537,Atypical,MIDOG21_537.png,5221,4198,AMF multipolar,AMF multipolar,True,True,True,True
227,028.tiff,MIDOG21,621,Normal,MIDOG21_621.png,5305,3463,NMF prometaphase,NMF prometaphase,False,False,False,False
228,029.tiff,MIDOG21,624,Normal,MIDOG21_624.png,924,2433,NMF metaphase,NMF metaphase,False,False,False,False
229,029.tiff,MIDOG21,626,Atypical,MIDOG21_626.png,4239,2928,NMF metaphase,AMF segregation,False,True,True,True
230,029.tiff,MIDOG21,627,Normal,MIDOG21_627.png,4986,2684,NMF metaphase,AMF segregation,False,True,False,False
231,030.tiff,MIDOG21,632,Atypical,MIDOG21_632.png,5806,486,AMF other,AMF segregation,True,True,True,True
232,030.tiff,MIDOG21,633,Atypical,MIDOG21_633.png,6367,84,AMF other,NMF metaphase,True,False,True,True
233,030.tiff,MIDOG21,634,Normal,MIDOG21_634.png,271,1464,AMF other,NMF metaphase,True,False,False,False
234,030.tiff,MIDOG21,636,Normal,MIDOG21_636.png,6471,2274,NMF metaphase,NMF metaphase,False,False,False,False
235,030.tiff,MIDOG21,638,Atypical,MIDOG21_638.png,4835,2840,NMF prometaphase,AMF other,False,True,True,True
236,030.tiff,MIDOG21,639,Normal,MIDOG21_639.png,6123,2857,NMF metaphase,NMF metaphase,False,False,False,False
237,030.tiff,MIDOG21,640,Normal,MIDOG21_640.png,7064,2591,NMF prometaphase,NMF prometaphase,False,False,False,False
238,030.tiff,MIDOG21,641,Normal,MIDOG21_641.png,3887,3811,AMF segregation,NMF prometaphase,True,False,False,False
239,030.tiff,MIDOG21,643,Normal,MIDOG21_643.png,4424,3177,NMF metaphase,NMF metaphase,False,False,False,False
240,030.tiff,MIDOG21,644,Normal,MIDOG21_644.png,5570,3645,NMF metaphase,NMF metaphase,False,False,False,False
241,030.tiff,MIDOG21,645,Normal,MIDOG21_645.png,6417,3161,NMF prometaphase,NMF prometaphase,False,False,False,False
242,030.tiff,MIDOG21,646,Normal,MIDOG21_646.png,2972,4445,NMF prometaphase,NMF prometaphase,False,False,False,False
243,030.tiff,MIDOG21,649,Normal,MIDOG21_649.png,4155,5146,NMF prometaphase,NMF prometaphase,False,False,False,False
257,033.tiff,MIDOG21,705,Normal,MIDOG21_705.png,2423,2636,NMF metaphase,NMF metaphase,False,False,False,False
258,033.tiff,MIDOG21,708,Normal,MIDOG21_708.png,5652,3467,NMF prometaphase,NMF prometaphase,False,False,True,False
259,033.tiff,MIDOG21,710,Normal,MIDOG21_710.png,2967,4829,NMF metaphase,NMF metaphase,False,False,False,False
260,034.tiff,MIDOG21,712,Normal,MIDOG21_712.png,2205,272,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
261,034.tiff,MIDOG21,713,Normal,MIDOG21_713.png,2483,125,NMF metaphase,NMF metaphase,False,False,False,False
262,034.tiff,MIDOG21,714,Normal,MIDOG21_714.png,2902,283,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
263,034.tiff,MIDOG21,715,Normal,MIDOG21_715.png,1834,719,NMF prometaphase,NMF prometaphase,False,False,False,False
264,034.tiff,MIDOG21,717,Normal,MIDOG21_717.png,1176,693,NMF anaphase-telophase,AMF bipolar assymetric,False,True,False,False
265,034.tiff,MIDOG21,718,Normal,MIDOG21_718.png,361,352,NMF prometaphase,NMF prometaphase,False,False,False,False
266,034.tiff,MIDOG21,719,Normal,MIDOG21_719.png,318,727,NMF metaphase,NMF metaphase,False,False,False,False
267,034.tiff,MIDOG21,720,Normal,MIDOG21_720.png,5640,627,NMF metaphase,NMF metaphase,False,False,False,False
268,034.tiff,MIDOG21,723,Normal,MIDOG21_723.png,466,854,NMF prometaphase,NMF prometaphase,False,False,False,False
269,034.tiff,MIDOG21,724,Normal,MIDOG21_724.png,149,1601,NMF prometaphase,NMF prometaphase,False,False,False,False
270,034.tiff,MIDOG21,725,Normal,MIDOG21_725.png,1748,1560,NMF prometaphase,NMF prometaphase,False,False,False,False
271,034.tiff,MIDOG21,726,Atypical,MIDOG21_726.png,1543,1498,AMF segregation,NMF prometaphase,True,False,True,True
272,034.tiff,MIDOG21,727,Normal,MIDOG21_727.png,1973,896,NMF prometaphase,NMF prometaphase,False,False,False,False
273,034.tiff,MIDOG21,728,Normal,MIDOG21_728.png,6321,1114,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
274,034.tiff,MIDOG21,729,Normal,MIDOG21_729.png,603,2070,NMF metaphase,NMF metaphase,False,False,False,False
275,034.tiff,MIDOG21,733,Atypical,MIDOG21_733.png,1706,1812,AMF segregation,AMF segregation,True,True,True,True
276,034.tiff,MIDOG21,734,Normal,MIDOG21_734.png,2784,1845,NMF prometaphase,NMF prometaphase,False,False,False,False
277,034.tiff,MIDOG21,735,Normal,MIDOG21_735.png,1606,2301,NMF prometaphase,NMF prometaphase,False,False,False,False
278,034.tiff,MIDOG21,736,Normal,MIDOG21_736.png,3565,2023,NMF prometaphase,NMF prometaphase,False,False,False,False
279,034.tiff,MIDOG21,737,Normal,MIDOG21_737.png,4340,2100,NMF prometaphase,NMF prometaphase,False,False,False,False
280,034.tiff,MIDOG21,739,Normal,MIDOG21_739.png,5211,2158,NMF metaphase,NMF metaphase,False,False,False,False
281,034.tiff,MIDOG21,741,Normal,MIDOG21_741.png,6927,2085,NMF metaphase,NMF prometaphase,False,False,False,False
282,034.tiff,MIDOG21,743,Normal,MIDOG21_743.png,5982,2255,NMF metaphase,NMF metaphase,False,False,False,False
283,034.tiff,MIDOG21,746,Normal,MIDOG21_746.png,1480,2422,NMF prometaphase,NMF prometaphase,False,False,False,False
284,034.tiff,MIDOG21,749,Normal,MIDOG21_749.png,1968,2769,NMF anaphase-telophase,NMF anaphase-telophase,False,False,True,False
285,034.tiff,MIDOG21,750,Normal,MIDOG21_750.png,1862,2525,NMF metaphase,NMF metaphase,False,False,False,False
286,034.tiff,MIDOG21,751,Normal,MIDOG21_751.png,2480,2572,NMF prometaphase,NMF metaphase,False,False,True,False
287,034.tiff,MIDOG21,752,Normal,MIDOG21_752.png,2905,2821,NMF prometaphase,NMF prometaphase,False,False,False,False
288,034.tiff,MIDOG21,756,Normal,MIDOG21_756.png,6129,2817,NMF prometaphase,NMF prometaphase,False,False,False,False
289,034.tiff,MIDOG21,757,Normal,MIDOG21_757.png,6257,2690,NMF metaphase,NMF metaphase,False,False,False,False
290,034.tiff,MIDOG21,758,Normal,MIDOG21_758.png,6959,2516,NMF metaphase,NMF metaphase,False,False,False,False
291,034.tiff,MIDOG21,759,Normal,MIDOG21_759.png,57,3416,NMF metaphase,NMF metaphase,False,False,False,False
292,034.tiff,MIDOG21,763,Normal,MIDOG21_763.png,707,3159,NMF prometaphase,NMF prometaphase,False,False,False,False
293,034.tiff,MIDOG21,766,Normal,MIDOG21_766.png,2773,3141,NMF prometaphase,NMF prometaphase,False,False,False,False
294,034.tiff,MIDOG21,767,Normal,MIDOG21_767.png,3133,3331,NMF metaphase,NMF metaphase,False,False,False,False
295,034.tiff,MIDOG21,768,Normal,MIDOG21_768.png,3757,3892,NMF prometaphase,NMF prometaphase,False,False,False,False
296,034.tiff,MIDOG21,769,Atypical,MIDOG21_769.png,4023,3780,AMF segregation,AMF segregation,True,True,True,True
297,034.tiff,MIDOG21,771,Normal,MIDOG21_771.png,4075,3168,NMF metaphase,NMF metaphase,False,False,False,False
298,034.tiff,MIDOG21,772,Normal,MIDOG21_772.png,4803,3633,NMF prometaphase,NMF prometaphase,False,False,False,False
299,034.tiff,MIDOG21,773,Normal,MIDOG21_773.png,4878,3669,NMF prometaphase,NMF prometaphase,False,False,True,False
300,034.tiff,MIDOG21,774,Normal,MIDOG21_774.png,5341,3790,NMF prometaphase,NMF prometaphase,False,False,False,False
301,034.tiff,MIDOG21,776,Normal,MIDOG21_776.png,6813,3679,NMF prometaphase,NMF metaphase,False,False,False,False
302,034.tiff,MIDOG21,777,Normal,MIDOG21_777.png,1806,4374,NMF metaphase,NMF metaphase,False,False,False,False
303,034.tiff,MIDOG21,779,Atypical,MIDOG21_779.png,4077,3866,AMF segregation,AMF segregation,True,True,True,True
304,034.tiff,MIDOG21,780,Normal,MIDOG21_780.png,5139,4581,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
