Filename,Expert_1,Expert_2,Expert_3,Expert_4,Expert_5,Majority
118.png,Normal,Normal,Normal,Normal,Normal,Normal
119.png,Normal,Normal,Normal,Normal,Normal,Normal
120.png,Normal,Normal,Normal,Normal,Normal,Normal
121.png,Normal,Normal,Normal,Normal,Normal,Normal
122.png,Normal,Normal,Normal,Normal,Normal,Normal
123.png,Normal,Normal,Normal,Normal,Normal,Normal
124.png,Normal,Normal,Normal,Normal,Normal,Normal
125.png,Normal,Atypical,Normal,Normal,Normal,Normal
126.png,Normal,Normal,Normal,Normal,Normal,Normal
127.png,Normal,Normal,Normal,Normal,Normal,Normal
128.png,Normal,Normal,Normal,Normal,Normal,Normal
129.png,Normal,Normal,Normal,Normal,Normal,Normal
130.png,Normal,Atypical,Normal,Normal,Normal,Normal
131.png,Normal,Normal,Normal,Normal,Normal,Normal
132.png,Normal,Normal,Normal,Normal,Normal,Normal
133.png,Normal,Normal,Normal,Normal,Normal,Normal
134.png,Normal,Normal,Normal,Normal,Normal,Normal
135.png,Normal,Normal,Normal,Normal,Normal,Normal
136.png,Normal,Normal,Normal,Normal,Normal,Normal
137.png,Normal,Normal,Normal,Normal,Normal,Normal
138.png,Normal,Normal,Normal,Normal,Normal,Normal
139.png,Normal,Atypical,Normal,Normal,Normal,Normal
140.png,Normal,Atypical,Normal,Normal,Normal,Normal
141.png,Normal,Normal,Normal,Normal,Normal,Normal
142.png,Normal,Normal,Normal,Normal,Normal,Normal
143.png,Normal,Normal,Normal,Normal,Normal,Normal
144.png,Normal,Normal,Normal,Normal,Normal,Normal
145.png,Normal,Normal,Normal,Normal,Normal,Normal
146.png,Normal,Atypical,Normal,Normal,Normal,Normal
147.png,Normal,Atypical,Normal,Normal,Normal,Normal
148.png,Atypical,Atypical,Normal,Normal,Normal,Normal
149.png,Normal,Normal,Normal,Normal,Normal,Normal
150.png,Normal,Normal,Normal,Normal,Normal,Normal
151.png,Normal,Normal,Normal,Normal,Normal,Normal
152.png,Normal,Normal,Normal,Normal,Normal,Normal
153.png,Normal,Normal,Normal,Normal,Normal,Normal
154.png,Normal,Atypical,Normal,Normal,Normal,Normal
155.png,Normal,Normal,Normal,Normal,Normal,Normal
156.png,Normal,Normal,Normal,Normal,Normal,Normal
157.png,Normal,Normal,Normal,Normal,Normal,Normal
158.png,Normal,Normal,Normal,Normal,Normal,Normal
159.png,Normal,Atypical,Normal,Normal,Normal,Normal
160.png,Normal,Normal,Normal,Normal,Normal,Normal
161.png,Normal,Normal,Normal,Normal,Normal,Normal
162.png,Normal,Normal,Normal,Normal,Normal,Normal
163.png,Normal,Normal,Normal,Normal,Normal,Normal
164.png,Normal,Normal,Normal,Normal,Normal,Normal
165.png,Normal,Atypical,Normal,Normal,Normal,Normal
166.png,Normal,Normal,Normal,Normal,Normal,Normal
167.png,Normal,Normal,Normal,Normal,Normal,Normal
168.png,Normal,Normal,Normal,Normal,Normal,Normal
169.png,Normal,Normal,Normal,Normal,Normal,Normal
170.png,Normal,Normal,Normal,Normal,Normal,Normal
171.png,Normal,Normal,Normal,Normal,Normal,Normal
172.png,Normal,Normal,Normal,Normal,Normal,Normal
173.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
174.png,Normal,Normal,Normal,Normal,Normal,Normal
175.png,Normal,Normal,Normal,Normal,Normal,Normal
176.png,Normal,Normal,Normal,Normal,Normal,Normal
177.png,Normal,Normal,Normal,Normal,Normal,Normal
178.png,Normal,Normal,Normal,Normal,Normal,Normal
179.png,Normal,Atypical,Normal,Normal,Normal,Normal
180.png,Normal,Normal,Normal,Normal,Normal,Normal
181.png,Normal,Normal,Normal,Normal,Normal,Normal
182.png,Normal,Normal,Normal,Normal,Normal,Normal
183.png,Normal,Atypical,Normal,Normal,Normal,Normal
184.png,Normal,Normal,Normal,Normal,Normal,Normal
185.png,Normal,Normal,Normal,Normal,Normal,Normal
186.png,Normal,Normal,Normal,Normal,Normal,Normal
187.png,Normal,Normal,Normal,Normal,Normal,Normal
188.png,Normal,Atypical,Atypical,Normal,Normal,Normal
189.png,Normal,Normal,Normal,Normal,Normal,Normal
190.png,Normal,Normal,Normal,Normal,Normal,Normal
191.png,Normal,Normal,Normal,Normal,Normal,Normal
192.png,Atypical,Normal,Normal,Normal,Normal,Normal
193.png,Normal,Normal,Normal,Normal,Normal,Normal
194.png,Normal,Normal,Atypical,Atypical,Normal,Normal
195.png,Normal,Normal,Atypical,Normal,Normal,Normal
196.png,Normal,Normal,Normal,Normal,Normal,Normal
197.png,Normal,Normal,Atypical,Normal,Normal,Normal
198.png,Normal,Atypical,Normal,Normal,Normal,Normal
199.png,Normal,Normal,Normal,Normal,Normal,Normal
200.png,Atypical,Atypical,Atypical,Atypical,Normal,Atypical
201.png,Normal,Normal,Normal,Normal,Normal,Normal
202.png,Normal,Normal,Normal,Normal,Normal,Normal
203.png,Normal,Normal,Atypical,Atypical,Normal,Normal
204.png,Atypical,Normal,Normal,Normal,Normal,Normal
205.png,Normal,Normal,Normal,Normal,Normal,Normal
206.png,Normal,Normal,Normal,Normal,Normal,Normal
207.png,Normal,Normal,Normal,Normal,Normal,Normal
208.png,Normal,Normal,Normal,Normal,Normal,Normal
209.png,Normal,Normal,Normal,Normal,Normal,Normal
210.png,Normal,Normal,Atypical,Normal,Normal,Normal
211.png,Normal,Normal,Normal,Normal,Normal,Normal
212.png,Atypical,Normal,Normal,Normal,Normal,Normal
213.png,Normal,Normal,Atypical,Normal,Normal,Normal
214.png,Normal,Normal,Normal,Normal,Normal,Normal
215.png,Normal,Normal,Atypical,Atypical,Normal,Normal
216.png,Normal,Normal,Normal,Normal,Normal,Normal
217.png,Normal,Normal,Normal,Normal,Normal,Normal
218.png,Normal,Normal,Normal,Normal,Normal,Normal
219.png,Normal,Normal,Normal,Normal,Normal,Normal
220.png,Normal,Normal,Normal,Normal,Normal,Normal
221.png,Normal,Normal,Normal,Normal,Normal,Normal
222.png,Normal,Normal,Normal,Atypical,Normal,Normal
223.png,Normal,Normal,Normal,Normal,Normal,Normal
224.png,Normal,Normal,Normal,Normal,Normal,Normal
225.png,Normal,Normal,Normal,Normal,Normal,Normal
226.png,Normal,Normal,Normal,Normal,Normal,Normal
227.png,Normal,Normal,Atypical,Normal,Normal,Normal
228.png,Normal,Normal,Normal,Atypical,Normal,Normal
229.png,Normal,Normal,Normal,Normal,Normal,Normal
230.png,Normal,Atypical,Normal,Normal,Normal,Normal
231.png,Normal,Normal,Normal,Normal,Normal,Normal
232.png,Normal,Normal,Normal,Normal,Normal,Normal
233.png,Normal,Normal,Normal,Normal,Normal,Normal
234.png,Atypical,Normal,Atypical,Atypical,Atypical,Atypical
235.png,Normal,Atypical,Normal,Normal,Normal,Normal
236.png,Normal,Normal,Atypical,Normal,Normal,Normal
237.png,Normal,Normal,Normal,Normal,Normal,Normal
238.png,Normal,Normal,Normal,Normal,Normal,Normal
239.png,Normal,Normal,Normal,Normal,Normal,Normal
240.png,Normal,Normal,Normal,Normal,Normal,Normal
241.png,Normal,Normal,Normal,Normal,Normal,Normal
242.png,Normal,Normal,Normal,Normal,Normal,Normal
243.png,Normal,Normal,Atypical,Normal,Normal,Normal
244.png,Normal,Normal,Normal,Normal,Normal,Normal
245.png,Normal,Normal,Normal,Normal,Normal,Normal
246.png,Atypical,Normal,Atypical,Atypical,Normal,Atypical
247.png,Normal,Normal,Normal,Normal,Normal,Normal
248.png,Normal,Normal,Normal,Normal,Normal,Normal
249.png,Normal,Normal,Normal,Normal,Normal,Normal
250.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
251.png,Normal,Normal,Normal,Normal,Normal,Normal
252.png,Normal,Normal,Normal,Normal,Normal,Normal
253.png,Normal,Normal,Normal,Normal,Normal,Normal
254.png,Normal,Normal,Normal,Normal,Normal,Normal
255.png,Normal,Normal,Normal,Normal,Normal,Normal
256.png,Atypical,Normal,Normal,Normal,Normal,Normal
257.png,Normal,Normal,Normal,Normal,Normal,Normal
258.png,Normal,Normal,Normal,Normal,Normal,Normal
259.png,Normal,Atypical,Atypical,Normal,Atypical,Atypical
260.png,Atypical,Atypical,Atypical,Atypical,Atypical,Atypical
261.png,Normal,Normal,Normal,Normal,Normal,Normal
262.png,Normal,Normal,Normal,Normal,Normal,Normal
263.png,Normal,Normal,Normal,Normal,Normal,Normal
264.png,Normal,Atypical,Normal,Normal,Normal,Normal
265.png,Normal,Normal,Normal,Normal,Normal,Normal
266.png,Normal,Normal,Normal,Normal,Normal,Normal
267.png,Normal,Normal,Normal,Normal,Normal,Normal
268.png,Normal,Normal,Normal,Normal,Normal,Normal
269.png,Normal,Normal,Normal,Normal,Normal,Normal
270.png,Normal,Normal,Normal,Normal,Normal,Normal
271.png,Normal,Atypical,Atypical,Normal,Normal,Normal
272.png,Normal,Atypical,Normal,Normal,Normal,Normal
273.png,Normal,Normal,Normal,Normal,Normal,Normal
274.png,Normal,Normal,Normal,Normal,Normal,Normal
275.png,Normal,Normal,Normal,Normal,Normal,Normal
276.png,Normal,Normal,Normal,Normal,Normal,Normal
277.png,Atypical,Normal,Atypical,Atypical,Atypical,Atypical
278.png,Normal,Normal,Normal,Normal,Normal,Normal
279.png,Normal,Normal,Normal,Normal,Normal,Normal
280.png,Normal,Normal,Normal,Normal,Normal,Normal
281.png,Normal,Atypical,Normal,Normal,Normal,Normal
282.png,Normal,Normal,Normal,Normal,Normal,Normal
283.png,Normal,Normal,Normal,Normal,Normal,Normal
284.png,Normal,Normal,Normal,Normal,Normal,Normal
285.png,Normal,Normal,Normal,Normal,Normal,Normal
286.png,Normal,Normal,Normal,Normal,Normal,Normal
287.png,Normal,Normal,Normal,Normal,Normal,Normal
288.png,Normal,Normal,Normal,Normal,Atypical,Normal
289.png,Atypical,Normal,Normal,Atypical,Normal,Normal
290.png,Normal,Normal,Normal,Normal,Normal,Normal
291.png,Normal,Atypical,Normal,Normal,Normal,Normal
292.png,Normal,Normal,Normal,Normal,Normal,Normal
293.png,Normal,Normal,Normal,Normal,Normal,Normal
294.png,Normal,Normal,Normal,Normal,Normal,Normal
295.png,Normal,Normal,Normal,Normal,Normal,Normal
296.png,Normal,Normal,Normal,Normal,Normal,Normal
297.png,Normal,Normal,Normal,Normal,Normal,Normal
298.png,Normal,Normal,Normal,Normal,Normal,Normal
299.png,Normal,Normal,Normal,Normal,Normal,Normal
300.png,Normal,Normal,Normal,Normal,Normal,Normal
301.png,Normal,Normal,Normal,Normal,Normal,Normal
302.png,Normal,Normal,Normal,Normal,Normal,Normal
303.png,Normal,Normal,Atypical,Normal,Normal,Normal
304.png,Normal,Normal,Normal,Normal,Normal,Normal
305.png,Normal,Normal,Normal,Normal,Normal,Normal
306.png,Normal,Normal,Normal,Normal,Normal,Normal
307.png,Normal,Normal,Normal,Normal,Normal,Normal
308.png,Normal,Normal,Normal,Normal,Normal,Normal
309.png,Normal,Normal,Normal,Normal,Normal,Normal
310.png,Normal,Normal,Normal,Normal,Normal,Normal
311.png,Normal,Normal,Normal,Normal,Normal,Normal
312.png,Normal,Normal,Normal,Normal,Normal,Normal
313.png,Normal,Normal,Normal,Normal,Normal,Normal
314.png,Normal,Atypical,Normal,Normal,Normal,Normal
315.png,Normal,Normal,Normal,Normal,Normal,Normal
316.png,Normal,Normal,Normal,Normal,Normal,Normal
317.png,Normal,Normal,Normal,Normal,Normal,Normal
318.png,Atypical,Normal,Atypical,Atypical,Atypical,Atypical
319.png,Normal,Normal,Normal,Normal,Normal,Normal
320.png,Normal,Normal,Normal,Normal,Normal,Normal
321.png,Normal,Normal,Normal,Normal,Normal,Normal
322.png,Normal,Normal,Normal,Normal,Normal,Normal
323.png,Normal,Normal,Atypical,Normal,Normal,Normal
324.png,Normal,Normal,Normal,Normal,Normal,Normal
325.png,Normal,Normal,Normal,Normal,Normal,Normal
326.png,Normal,Normal,Normal,Normal,Normal,Normal
327.png,Normal,Normal,Atypical,Atypical,Normal,Normal
328.png,Normal,Normal,Normal,Normal,Normal,Normal
329.png,Normal,Normal,Normal,Normal,Normal,Normal
330.png,Normal,Atypical,Normal,Normal,Normal,Normal
331.png,Normal,Normal,Normal,Normal,Normal,Normal
332.png,Normal,Atypical,Normal,Normal,Normal,Normal
333.png,Normal,Normal,Normal,Normal,Normal,Normal
334.png,Normal,Normal,Normal,Normal,Normal,Normal
335.png,Normal,Normal,Normal,Normal,Normal,Normal
336.png,Normal,Normal,Normal,Normal,Normal,Normal
337.png,Normal,Normal,Normal,Normal,Normal,Normal
338.png,Normal,Normal,Normal,Normal,Normal,Normal
339.png,Normal,Normal,Normal,Normal,Normal,Normal
340.png,Normal,Normal,Normal,Normal,Normal,Normal
341.png,Normal,Normal,Normal,Normal,Normal,Normal
342.png,Normal,Atypical,Normal,Normal,Normal,Normal
343.png,Normal,Normal,Normal,Normal,Normal,Normal
344.png,Normal,Normal,Normal,Normal,Normal,Normal
345.png,Normal,Normal,Normal,Normal,Normal,Normal
346.png,Normal,Normal,Normal,Normal,Normal,Normal
347.png,Normal,Normal,Normal,Normal,Normal,Normal
348.png,Normal,Normal,Normal,Normal,Normal,Normal
349.png,Normal,Normal,Normal,Normal,Normal,Normal
350.png,Normal,Normal,Normal,Normal,Normal,Normal
351.png,Normal,Normal,Normal,Normal,Normal,Normal
352.png,Normal,Normal,Normal,Normal,Normal,Normal
353.png,Normal,Normal,Normal,Normal,Normal,Normal
354.png,Normal,Normal,Normal,Normal,Normal,Normal
355.png,Normal,Normal,Normal,Normal,Normal,Normal
356.png,Normal,Normal,Normal,Normal,Normal,Normal
357.png,Normal,Normal,Normal,Normal,Atypical,Normal
358.png,Normal,Normal,Normal,Normal,Normal,Normal
359.png,Normal,Normal,Normal,Normal,Normal,Normal
360.png,Normal,Normal,Normal,Normal,Normal,Normal
361.png,Normal,Normal,Normal,Normal,Normal,Normal
362.png,Normal,Normal,Normal,Normal,Normal,Normal
363.png,Normal,Normal,Normal,Normal,Normal,Normal
364.png,Normal,Normal,Normal,Normal,Normal,Normal
365.png,Normal,Normal,Normal,Normal,Normal,Normal
366.png,Normal,Normal,Normal,Normal,Normal,Normal
367.png,Normal,Atypical,Normal,Normal,Normal,Normal
368.png,Normal,Normal,Normal,Normal,Normal,Normal
369.png,Normal,Normal,Normal,Normal,Normal,Normal
370.png,Normal,Normal,Normal,Normal,Normal,Normal
371.png,Normal,Normal,Normal,Normal,Normal,Normal
372.png,Normal,Normal,Normal,Normal,Normal,Normal
373.png,Normal,Normal,Normal,Normal,Normal,Normal
374.png,Normal,Normal,Atypical,Normal,Normal,Normal
375.png,Normal,Normal,Normal,Normal,Normal,Normal
376.png,Normal,Normal,Normal,Normal,Normal,Normal
377.png,Normal,Atypical,Normal,Normal,Normal,Normal
378.png,Normal,Normal,Normal,Normal,Normal,Normal
379.png,Normal,Normal,Normal,Normal,Normal,Normal
380.png,Normal,Normal,Normal,Normal,Normal,Normal
381.png,Normal,Normal,Atypical,Atypical,Normal,Normal
382.png,Normal,Atypical,Normal,Normal,Normal,Normal
383.png,Normal,Normal,Normal,Normal,Normal,Normal
384.png,Normal,Normal,Normal,Normal,Normal,Normal
385.png,Normal,Normal,Normal,Normal,Normal,Normal
386.png,Normal,Normal,Normal,Normal,Normal,Normal
387.png,Normal,Atypical,Normal,Normal,Normal,Normal
388.png,Normal,Normal,Normal,Normal,Normal,Normal
389.png,Normal,Normal,Normal,Normal,Normal,Normal
390.png,Normal,Normal,Normal,Normal,Normal,Normal
391.png,Normal,Normal,Normal,Normal,Normal,Normal
392.png,Normal,Normal,Normal,Normal,Normal,Normal
393.png,Normal,Normal,Normal,Normal,Normal,Normal
394.png,Normal,Normal,Normal,Normal,Normal,Normal
395.png,Normal,Normal,Normal,Normal,Normal,Normal
396.png,Normal,Normal,Normal,Normal,Normal,Normal
397.png,Normal,Normal,Normal,Normal,Normal,Normal
398.png,Normal,Normal,Normal,Normal,Normal,Normal
399.png,Normal,Normal,Normal,Normal,Normal,Normal
400.png,Normal,Normal,Normal,Normal,Normal,Normal
401.png,Normal,Normal,Normal,Normal,Normal,Normal
402.png,Normal,Normal,Normal,Normal,Normal,Normal
403.png,Normal,Normal,Normal,Normal,Normal,Normal
404.png,Normal,Normal,Normal,Normal,Normal,Normal
405.png,Normal,Normal,Normal,Normal,Normal,Normal
406.png,Normal,Normal,Atypical,Normal,Normal,Normal
407.png,Normal,Normal,Normal,Normal,Normal,Normal
408.png,Normal,Normal,Normal,Normal,Normal,Normal
409.png,Normal,Normal,Normal,Normal,Normal,Normal
410.png,Normal,Normal,Normal,Normal,Normal,Normal
411.png,Normal,Normal,Normal,Normal,Normal,Normal
412.png,Normal,Normal,Normal,Normal,Normal,Normal
413.png,Normal,Normal,Atypical,Normal,Normal,Normal
414.png,Normal,Normal,Normal,Normal,Normal,Normal
415.png,Normal,Normal,Normal,Normal,Normal,Normal
416.png,Normal,Normal,Normal,Normal,Normal,Normal
417.png,Normal,Normal,Normal,Normal,Normal,Normal
418.png,Normal,Normal,Normal,Normal,Normal,Normal
419.png,Normal,Normal,Normal,Normal,Normal,Normal
420.png,Normal,Atypical,Normal,Normal,Normal,Normal
421.png,Normal,Normal,Normal,Normal,Normal,Normal
422.png,Normal,Normal,Normal,Normal,Normal,Normal
423.png,Normal,Normal,Normal,Normal,Normal,Normal
424.png,Normal,Normal,Normal,Normal,Normal,Normal
425.png,Normal,Normal,Normal,Normal,Normal,Normal
426.png,Normal,Normal,Normal,Normal,Normal,Normal
427.png,Normal,Normal,Normal,Normal,Normal,Normal
428.png,Normal,Normal,Normal,Normal,Normal,Normal
429.png,Normal,Normal,Normal,Normal,Normal,Normal
430.png,Normal,Normal,Normal,Normal,Normal,Normal
431.png,Normal,Normal,Normal,Normal,Normal,Normal
432.png,Normal,Atypical,Normal,Normal,Normal,Normal
433.png,Normal,Normal,Normal,Normal,Normal,Normal
434.png,Normal,Atypical,Normal,Normal,Normal,Normal
435.png,Atypical,Normal,Normal,Normal,Normal,Normal
436.png,Normal,Normal,Normal,Normal,Normal,Normal
437.png,Normal,Normal,Normal,Normal,Normal,Normal
438.png,Normal,Normal,Normal,Normal,Normal,Normal
439.png,Normal,Normal,Normal,Normal,Normal,Normal
440.png,Atypical,Normal,Normal,Atypical,Normal,Normal
441.png,Normal,Normal,Normal,Normal,Normal,Normal
442.png,Normal,Atypical,Normal,Normal,Normal,Normal
443.png,Normal,Normal,Normal,Normal,Normal,Normal
444.png,Normal,Atypical,Normal,Normal,Normal,Normal
445.png,Normal,Atypical,Normal,Normal,Normal,Normal
446.png,Atypical,Normal,Normal,Atypical,Atypical,Atypical
447.png,Normal,Normal,Normal,Normal,Normal,Normal
448.png,Normal,Normal,Normal,Normal,Normal,Normal
449.png,Normal,Atypical,Normal,Normal,Normal,Normal
450.png,Normal,Normal,Normal,Normal,Normal,Normal
451.png,Normal,Normal,Normal,Normal,Normal,Normal
452.png,Normal,Normal,Normal,Normal,Normal,Normal
453.png,Atypical,Normal,Normal,Normal,Normal,Normal
454.png,Normal,Atypical,Normal,Normal,Normal,Normal
455.png,Normal,Atypical,Atypical,Normal,Normal,Normal
456.png,Normal,Normal,Normal,Normal,Normal,Normal
457.png,Normal,Normal,Normal,Normal,Normal,Normal
458.png,Normal,Normal,Normal,Normal,Normal,Normal
459.png,Normal,Normal,Normal,Normal,Normal,Normal
460.png,Normal,Normal,Normal,Normal,Normal,Normal
461.png,Normal,Normal,Normal,Normal,Normal,Normal
462.png,Normal,Normal,Normal,Normal,Normal,Normal
463.png,Normal,Normal,Normal,Normal,Normal,Normal
464.png,Normal,Normal,Normal,Normal,Normal,Normal
465.png,Normal,Normal,Normal,Normal,Normal,Normal
466.png,Normal,Atypical,Normal,Normal,Normal,Normal
467.png,Atypical,Normal,Normal,Atypical,Atypical,Atypical
468.png,Normal,Normal,Normal,Normal,Normal,Normal
469.png,Normal,Normal,Normal,Normal,Normal,Normal
470.png,Normal,Normal,Normal,Normal,Normal,Normal
471.png,Normal,Normal,Normal,Normal,Normal,Normal
472.png,Normal,Normal,Normal,Normal,Normal,Normal
473.png,Normal,Atypical,Normal,Normal,Normal,Normal
474.png,Normal,Atypical,Normal,Normal,Normal,Normal
475.png,Normal,Normal,Normal,Atypical,Normal,Normal
476.png,Normal,Atypical,Normal,Normal,Normal,Normal
477.png,Normal,Normal,Normal,Normal,Normal,Normal
478.png,Normal,Normal,Normal,Normal,Normal,Normal
479.png,Normal,Atypical,Normal,Normal,Normal,Normal
480.png,Atypical,Atypical,Normal,Atypical,Atypical,Atypical
481.png,Normal,Normal,Normal,Normal,Normal,Normal
482.png,Atypical,Normal,Normal,Atypical,Atypical,Atypical
483.png,Normal,Normal,Normal,Normal,Normal,Normal
484.png,Atypical,Atypical,Normal,Atypical,Normal,Atypical
485.png,Normal,Normal,Normal,Normal,Normal,Normal
486.png,Atypical,Normal,Normal,Normal,Normal,Normal
487.png,Normal,Atypical,Normal,Atypical,Normal,Normal
488.png,Atypical,Atypical,Normal,Normal,Normal,Normal
